Family,Father,Mother,Gender,Height,Kids
1,1.9939,1.7018,M,1.85928,4
1,1.9939,1.7018,F,1.75768,4
1,1.9939,1.7018,F,1.7526,4
1,1.9939,1.7018,F,1.7526,4
2,1.9177,1.6891,M,1.8669,4
2,1.9177,1.6891,M,1.8415,4
2,1.9177,1.6891,F,1.6637,4
2,1.9177,1.6891,F,1.6637,4
3,1.905,1.6256,M,1.8034,2
3,1.905,1.6256,F,1.7272,2
4,1.905,1.6256,M,1.7907,5
4,1.905,1.6256,M,1.7399,5
4,1.905,1.6256,F,1.7018,5
4,1.905,1.6256,F,1.6383,5
4,1.905,1.6256,F,1.6002,5
5,1.905,1.4859,M,1.8288,6
5,1.905,1.4859,M,1.7526,6
5,1.905,1.4859,M,1.7272,6
5,1.905,1.4859,F,1.6891,6
5,1.905,1.4859,F,1.5875,6
5,1.905,1.4859,F,1.5875,6
6,1.8796,1.7272,F,1.7653,1
7,1.8796,1.7272,M,1.9431,6
7,1.8796,1.7272,M,1.8796,6
7,1.8796,1.7272,M,1.8542,6
7,1.8796,1.7272,M,1.8542,6
7,1.8796,1.7272,F,1.7907,6
7,1.8796,1.7272,F,1.6256,6
8,1.8796,1.6891,F,1.7907,3
8,1.8796,1.6891,F,1.7272,3
8,1.8796,1.6891,F,1.6764,3
9,1.8923,1.6764,F,1.6764,1
10,1.8796,1.6637,F,1.6637,1
11,1.8796,1.5748,M,1.8796,8
11,1.8796,1.5748,M,1.778,8
11,1.8796,1.5748,F,1.7272,8
11,1.8796,1.5748,F,1.7018,8
11,1.8796,1.5748,F,1.7018,8
11,1.8796,1.5748,F,1.6764,8
11,1.8796,1.5748,F,1.6129,8
11,1.8796,1.5748,F,1.6002,8
12,1.8796,1.5494,F,1.651,1
14,1.8542,1.7018,M,1.7272,2
14,1.8542,1.7018,M,1.7018,2
15,1.8542,1.6891,M,1.8034,3
15,1.8542,1.6891,M,1.7907,3
15,1.8542,1.6891,F,1.69418,3
16,1.8542,1.651,M,1.8288,9
16,1.8542,1.651,M,1.7907,9
16,1.8542,1.651,M,1.78308,9
16,1.8542,1.651,M,1.78308,9
16,1.8542,1.651,M,1.75768,9
16,1.8542,1.651,F,1.74498,9
16,1.8542,1.651,F,1.6891,9
16,1.8542,1.651,F,1.6383,9
16,1.8542,1.651,F,1.6129,9
17,1.8542,1.6383,M,1.8796,6
17,1.8542,1.6383,M,1.8542,6
17,1.8542,1.6383,M,1.8161,6
17,1.8542,1.6383,M,1.5875,6
17,1.8542,1.6383,F,1.6891,6
17,1.8542,1.6383,F,1.58242,6
18,1.8542,1.6256,F,1.6764,3
18,1.8542,1.6256,F,1.6383,3
18,1.8542,1.6256,F,1.6256,3
19,1.85928,1.6002,F,1.59258,1
20,1.84658,1.7526,M,1.85928,8
20,1.84658,1.7526,M,1.8542,8
20,1.84658,1.7526,M,1.84658,8
20,1.84658,1.7526,F,1.778,8
20,1.84658,1.7526,F,1.7526,8
20,1.84658,1.7526,F,1.7399,8
20,1.84658,1.7526,F,1.7272,8
20,1.84658,1.7526,F,1.6764,8
21,1.8288,1.7272,M,1.8542,3
21,1.8288,1.7272,F,1.7399,3
21,1.8288,1.7272,F,1.7272,3
22,1.8288,1.7018,M,1.8542,3
22,1.8288,1.7018,M,1.8034,3
22,1.8288,1.7018,F,1.7018,3
23,1.8288,1.651,M,1.88468,7
23,1.8288,1.651,M,1.7907,7
23,1.8288,1.651,M,1.7653,7
23,1.8288,1.651,F,1.6764,7
23,1.8288,1.651,F,1.6637,7
23,1.8288,1.651,F,1.651,7
23,1.8288,1.651,F,1.651,7
24,1.8288,1.6637,F,1.6637,1
25,1.8288,1.6256,F,1.6764,2
25,1.8288,1.6256,F,1.6002,2
26,1.8288,1.6002,M,1.7907,5
26,1.8288,1.6002,M,1.7907,5
26,1.8288,1.6002,M,1.7526,5
26,1.8288,1.6002,F,1.651,5
26,1.8288,1.6002,F,1.6002,5
27,1.8288,1.6002,M,1.7526,3
27,1.8288,1.6002,M,1.7018,3
27,1.8288,1.6002,F,1.6002,3
28,1.8288,1.6002,M,1.8542,6
28,1.8288,1.6002,M,1.7018,6
28,1.8288,1.6002,F,1.7907,6
28,1.8288,1.6002,F,1.778,6
28,1.8288,1.6002,F,1.6891,6
28,1.8288,1.6002,F,1.6002,6
29,1.8415,1.6129,F,1.7145,3
29,1.8415,1.6129,F,1.70688,3
29,1.8415,1.6129,F,1.69418,3
30,1.8288,1.5748,F,1.6256,1
31,1.8415,1.5748,M,1.8034,6
31,1.8415,1.5748,M,1.778,6
31,1.8415,1.5748,M,1.778,6
31,1.8415,1.5748,F,1.6764,6
31,1.8415,1.5748,F,1.651,6
31,1.8415,1.5748,F,1.651,6
32,1.8288,1.5748,M,1.8796,5
32,1.8288,1.5748,M,1.8288,5
32,1.8288,1.5748,M,1.7526,5
32,1.8288,1.5748,F,1.7145,5
32,1.8288,1.5748,F,1.6129,5
33,1.8288,1.5748,M,1.8288,5
33,1.8288,1.5748,M,1.8161,5
33,1.8288,1.5748,M,1.8161,5
33,1.8288,1.5748,M,1.778,5
33,1.8288,1.5748,F,1.7272,5
34,1.8288,1.5494,F,1.66878,1
35,1.8034,1.7526,M,1.9812,5
35,1.8034,1.7526,M,1.8796,5
35,1.8034,1.7526,M,1.8542,5
35,1.8034,1.7526,M,1.8288,5
35,1.8034,1.7526,F,1.7018,5
36,1.8034,1.7018,M,1.85928,4
36,1.8034,1.7018,M,1.8542,4
36,1.8034,1.7018,M,1.7526,4
36,1.8034,1.7018,F,1.7018,4
37,1.8034,1.6764,M,1.778,4
37,1.8034,1.6764,F,1.7018,4
37,1.8034,1.6764,F,1.7018,4
37,1.8034,1.6764,F,1.6891,4
38,1.8034,1.6764,M,1.778,6
38,1.8034,1.6764,M,1.7526,6
38,1.8034,1.6764,M,1.7399,6
38,1.8034,1.6764,F,1.6764,6
38,1.8034,1.6764,F,1.6383,6
38,1.8034,1.6764,F,1.6002,6
39,1.8034,1.6764,M,1.8034,2
39,1.8034,1.6764,F,1.7018,2
40,1.8034,1.6764,M,1.9304,5
40,1.8034,1.6764,M,1.8288,5
40,1.8034,1.6764,M,1.8034,5
40,1.8034,1.6764,M,1.6764,5
40,1.8034,1.6764,F,1.6764,5
41,1.82118,1.6637,M,1.7907,1
42,1.8034,1.6637,M,1.8288,6
42,1.8034,1.6637,M,1.8288,6
42,1.8034,1.6637,M,1.8034,6
42,1.8034,1.6637,M,1.7526,6
42,1.8034,1.6637,F,1.6764,6
42,1.8034,1.6637,F,1.651,6
43,1.8161,1.6637,M,1.8542,2
43,1.8161,1.6637,F,1.65608,2
44,1.8161,1.651,M,1.7399,2
44,1.8161,1.651,M,1.71958,2
45,1.8034,1.651,M,1.7272,3
45,1.8034,1.651,M,1.7272,3
45,1.8034,1.651,F,1.5748,3
46,1.8034,1.6256,F,1.7272,8
46,1.8034,1.6256,F,1.7272,8
46,1.8034,1.6256,F,1.7145,8
46,1.8034,1.6256,F,1.6891,8
46,1.8034,1.6256,F,1.6891,8
46,1.8034,1.6256,F,1.6764,8
46,1.8034,1.6256,F,1.6637,8
